Province,City,Branch,Manager,Latitude,Longitude,Address,MapUrl
Eastern Cape,East London-East London CBD,East London CBD,Unknown,-33.016213,27.9030507,Shop 1 3-5 Gladstone Street East London 5200 EC,https://goo.gl/maps/eK4b5LZ1P1y
Eastern Cape,East London-Gillwell,Gillwell,Unknown,-33.0200359,27.9033116,Shop no LG37 4 Fleet St East London 5200 EC,https://goo.gl/maps/fY3RQDQfwgB2
Eastern Cape,East London-Mdantsane City,Mdantsane City,Unknown,-32.935128,27.740668,Shop no 60 Mdantsane City Cnr Billie Road and Qumza Highway Mdantsane 5219 EC,https://goo.gl/maps/g4gE9k82jeK2
Eastern Cape,King Williams Town-King Williams Town,King Williams Town,Unknown,-32.8751663,27.3873485,Shop 1 Bank Street King Williams Town,https://goo.gl/maps/QvJMRpcJBCJ2
Eastern Cape,King Williams Town-King Williams Town,King Williams Town,Unknown,-32.875739,27.38781,Shop 1 Bank Street King Williams Town EC,https://goo.gl/maps/31yYwztdnMH2
Eastern Cape,Mthatha-Mthatha,Mthatha,Unknown,-31.5881435,28.7863254,67 York Road Umthatha,https://goo.gl/maps/sypNJtE1V3F2
Eastern Cape,Port Elizabeth-Kenako Mall,Kenako Mall,Unknown,-33.8833792,25.5627918,Shop 22e Kenako Retail Centre Cnr Uitenhage and Spondo Rd New Brighton Port Elizabeth EC,https://goo.gl/maps/hQkFcoHmLJB2
Eastern Cape,Port Elizabeth-Port Elizabeth CBD,Port Elizabeth CBD,Unknown,-33.957198,25.615909,186 Goven Mbheki Ave Central Port Elizabeth 6001 EC,https://goo.gl/maps/hKDhx7JavKs
Eastern Cape,Queenstown-The Hexagon,The Hexagon,Unknown,-31.898034,26.869095,The Hexagon Cnr Hexagon and Bowker Street Queenstown 5319 EC,https://goo.gl/maps/i9XTLQUEW762
Eastern Cape,Uitenhage-Uitenhage,Uitenhage,Unknown,-33.767963,25.401959,72 Caledon Street Uitenhage 6229 EC,https://goo.gl/maps/svhxwWiX8Zt
Eastern Cape,Umtata (Mthatha)-Umtata (BT Ngebs),Umtata (BT Ngebs),Unknown,-31.596984,28.784614,Shop L137 33 Errol Springs Ave B T Ngebs Mall Umtata EC,https://goo.gl/maps/KAEUTMZBsV92
Eastern Cape,Umtata-York Street,Umtata,Unknown,-31.587934,28.788294,115 York Road Umthatha 5100 EC ,https://goo.gl/maps/awYPuUGFm152
Free State,Bloemfontein-Bloem Arcade Walk,Bloem Arcade Walk,Unknown,-29.113532,26.214581,Shop 20 Arcade Walk-Through Bloemfontein 9301 FS,https://goo.gl/ZsbTxz
Free State,Bloemfontein-Bloemfontein CBD,Bloemfontein CBD,Unknown,-29.1176914,26.2158648,Liberty Life Building Corner of St Andrews and Church Street Bloemfontein 9301 FS,https://goo.gl/maps/L7NdDSoQCvy
Free State,Bloemfontein-Botshabelo,Botshabelo,Unknown,-29.2312252,26.7052026,Shop 19 RCM Shopping Complex Strand St Botshabelo FS,https://goo.gl/maps/GBhmm15vW7H2
