"province";"city";"branch";"type";"manager";"latitude";"longitute";"address";"mapurl"
"Eastern Cape";"Cofimvaba-Cofimvaba";"Cofimvaba";"Boxer";"Unknown";"-31,999677";"27,577735";"Market Street, Cofimvaba 5380";"https://goo.gl/pk6V9H"
"Eastern Cape";"East London-East London CBD";"East London CBD";"Normal";"Unknown";"-33,0163579";"27,903219";"Shop 1, 3-5 Gladstone Street, East London, 5200, EC";"https://goo.gl/maps/fsz5Amf9mQS2"
"Eastern Cape";"East London-Gillwell ";"Gillwell ";"Normal";"Unknown";"-33,0201165";"27,9018037";"Shop no LG37, Gillwell Shopping Centre, 4 Fleet St, East London, 5200, EC";"https://goo.gl/maps/rq5winTein22"
"Eastern Cape";"East London-Mdantsane City";"Mdantsane City";"Normal";"Unknown";"-32,924632";"27,741605";"Shop no 60, Mdantsane City, Cnr Bilies Toad & Qumza highigh, Mdantsane, 5219, EC";"https://goo.gl/maps/3szJo7oqdDF2"
"Eastern Cape";"King Williams Town-King Williams Town";"King Williams Town";"Normal";"Unknown";"-32,875568";"27,387605";"Shop 1, Bank Street, King Williams Town, EC";"https://goo.gl/maps/XNaJXkHvcAA2"
"Eastern Cape";"Lusikisiki-Lusikisiki";"Lusikisiki";"Boxer";"Unknown";"-31,3663423";"29,576097";"44 main Street, Lusikisiki, 4820";"https://goo.gl/KXUDKA"
"Eastern Cape";"Matatiele-Matatiele";"Matatiele";"Boxer";"Unknown";"-30,3414485";"28,8047933";"Boxer 2 Stand 742 Cnr Station & Market Street, Matatiele, 4730";"https://goo.gl/E7o4Rb"
"Eastern Cape";"Mthatha-Mthatha";"Mthatha";"Boxer";"Unknown";"-31,5884132";"28,7864171";"Cnr York & Elliot Street, Shop 3 Mthatha";"https://goo.gl/BM2CaL"
"Eastern Cape";"Port Elizabeth-Kenako Mall";"Kenako Mall";"Normal";"Unknown";"-33,88483";"25,563995";"Shop 22e, Kenako Retail Centre, Cnr Uitenhage and Spondo Rd, New Brighton, Port Elizabeth, EC";"https://goo.gl/maps/zYEbCQoBGKP2"
"Eastern Cape";"Port Elizabeth-Port Elizabeth CBD";"Port Elizabeth CBD";"Normal";"Unknown";"-33,95732";"25,618067";"186 Goven Mbheki Ave, Central, Port Elizabeth, 6001, EC";"https://goo.gl/maps/ccHDa3G7j2B2"
