Province,City,Branch,Manager,Latitude,Longitude,Address,MapUrl
North West,Britz-Britz,Britz,Unknown,-25.635919,27.780407,50 Pienaar Street Brits 0250 NW,https://goo.gl/maps/UhZhbD5xskF2
Eastern Cape,King Williams Town-King Williams Town,King Williams Town,Unknown,-32.875739,27.38781,Shop 1 Bank Street King Williams Town EC,https://goo.gl/maps/31yYwztdnMH2
Eastern Cape,Umtata-York Street,Umtata,Unknown,-31.587934,28.788294,115 York Road Umthatha 5100 EC ,https://goo.gl/maps/awYPuUGFm152
KwaZulu-Natal,Clairwood-Clairwood,Clairwood,Unknown,-29.914446,30.978109,Clairwood Shopping Centre 622 South Coast Road Clairwood 4052 KZN,https://goo.gl/maps/ayLKZchnaYz
Mpumalanga,Nelspruit-Nelspruit,Nelspruit,Unknown,-25.471098,30.975818,10 Paul Kruger Nelspruit 1201 MP,https://goo.gl/maps/Nj3HHZ8rYXG2
Eastern Cape,Uitenhage-Uitenhage,Uitenhage,Unknown,-33.767963,25.401959,72 Caledon Street Uitenhage 6229 EC,https://goo.gl/maps/svhxwWiX8Zt
Western Cape,Cape Town-Philippi,Cape Town,Unknown,-34.0012,18.52309,Shoprite Centre Govan Mbeki Rd Philippi Cape Town 7750 WC,https://goo.gl/maps/tFxb2ENe7no
North West,Mmabatho-Mmabatho,Mmabatho,Unknown,-25.836949,25.612312,3139 Lucas Mangope Highway Mmabatho 2790 NW,https://goo.gl/maps/yhMAxTf7YCx
Limpopo,Bochum-Bochum,Bochum,Unknown,-25.836804,25.612312,Shop 33 Blouberg Mall Camp Rd Bochum 0790 LP,https://goo.gl/maps/mWVZTTWSSqK2
Gauteng,Krugersdorp-Keywest,Keywest,Unknown,-26.089205,27.782674,6 Paardekraal Drive Krugersdorp 1739 GP,https://goo.gl/maps/BpR1eP2TYpu
Free State,Welkom-Goldfields Mall,Welkom,Unknown,-27.97676,26.736028,Shop xx Goldfields Mall Stateway & Buiten Street Welkom 9460 FS,https://goo.gl/maps/inJUWDWAjYs
Free State,Welkom-Welkom Bok Str,Welkom,Unknown,-27.983411,26.735499,26 Bok Street Welkom 9460 FS,https://goo.gl/maps/uEob6291RP62
KwaZulu-Natal,Vryheid-Vryheid,Vryheid,Unknown,-27.764492,30.800267,Shop 24A Mason Street Vryheid 3100 KZN,https://goo.gl/maps/sWZd5rag6up
North West,Taung-Taung,Taung,Unknown,-27.560883,24.747598,Taung Forum Centre Station Road Taung 8584 NW,https://goo.gl/maps/MmSFf7XTKtB2
Mpumalanga,Witbank-Emalahleni,Emalahleni,Unknown,-25.875555,29.211418,Shop xx Witbank Metropolitan Centre Eadie St & Botha Avenue Emalahleni 1035 MP,https://goo.gl/maps/Nopw9wYdzBN2
Limpopo,Tzaneen-Tzaneen Mall,Tzaneen,Unknown,-23.825843,30.161906,Shop XX Tsaneng Mall 26 Danie Joubert St Tzaneen 0850 LP,https://goo.gl/maps/RXi9fNiBAio
KwaZulu-Natal,Kokstad-Kokstad,Kokstad,Unknown,-30.553745,29.425136,43 Hope Street Shoprite Centre Kokstad 4700 KZN,https://goo.gl/maps/y7TEHW1aYzF2
Gauteng,Katlehong-Letsoho Centre,Katlehong,Unknown,-26.327258,28.145774,Letsoho centre Cnr Hospital Rd & Kgotso St Katlehong 1431 GP,https://goo.gl/maps/1Hy9ydHwCcr
Limpopo,Burgersfort-Burgersfort,Burgersfort,Unknown,-24.667836,30.325266,Shop XX Twin City Centre Dirk Winterbach & Kruis St Burgersfort 1150 ,https://goo.gl/maps/CDRU82SUHTq
Mpumalanga,Ermelo-Ermelo,Ermelo,Unknown,-26.517276,29.986089,50 De Jager Street Ermelo 2351 MP,https://goo.gl/maps/w1AM4W5cX3n
North West,Vryburg-Vryburg,Vryburg,Unknown,-26.958612,24.730527,121 Market Sreet Vryburg 8600 NW,https://goo.gl/maps/TbmcQ18fysL2
Limpopo,Lebowakgomo-Lebowakgomo,Lebowakgomo,Unknown,-24.311758,29.478369,"Lepelle Crossing, R571 Lebowakgomo 0737 LP",https://goo.gl/maps/S23x31sQn3y
Gauteng,Johannesburg-End Street,End Street,Unknown,-26.198026,28.052799,120 End Street Johannesburg 2001 GP,https://goo.gl/maps/kTqSrUeNh9B2
Gauteng,Ga-Rankuwa-Ga-Rankuwa,Ga-Rankuwa,Unknown,-25.591152,27.991533,Ga-Rankuwa City Centre Mangope Rd Ga-Rankuwa 0208 GP,https://goo.gl/maps/JWpvCaAzgo92
KwaZulu-Natal,Durban-Hammarsdale,Hammarsdale,Unknown,-29.801884,30.628442,Shop XX Hammarsdale Junction Mall Kunene Road Durban 3700 KZN,https://goo.gl/maps/zVEW6GQazA52
Gauteng,Sebokeng-Thabong Mall,Thabong Mall,Unknown,-26.590536,27.846683,Shop XXX 65565 Moshoeshoe St Sebokeng 1983 GP,https://goo.gl/maps/1XwF4mNxSvS2
KwaZulu-Natal,Port Shepstone-Port Shepstone,Port Shepstone,Unknown,-30.737856,30.450414,Shop 4 Boodhram House lot 374 Cnr of Wooley Street & Nelson Mandela Drive Port Shepstone KZN,https://goo.gl/maps/gT4f5cWuY4u
